bike,trips
9,15
10,38
11,66
12,54
13,37
14,51
15,39
16,107
17,25
18,36
19,21
20,69
21,40
22,19
23,32
24,64
25,42
26,66
27,35
28,23
29,22
30,40
31,63
32,12
34,31
35,38
36,46
37,77
38,44
39,40
40,52
41,49
42,28
43,39
44,66
45,71
46,44
47,54
48,18
49,39
50,26
51,42
52,64
53,56
54,19
55,55
56,44
57,8
58,54
59,73
60,57
61,72
62,20
63,40
64,52
65,82
66,13
67,52
68,46
69,50
70,41
71,59
72,39
74,21
75,38
76,54
77,63
78,37
79,51
80,48
81,52
82,41
83,46
84,36
85,46
86,77
87,43
88,66
89,65
90,37
91,47
92,45
93,51
94,13
95,30
96,43
97,24
98,59
99,66
100,46
101,54
102,62
103,51
104,24
105,23
106,63
107,61
108,32
109,95
110,10
111,25
112,57
116,22
117,40
118,74
119,59
120,39
121,36
122,44
123,32
124,25
125,50
126,76
127,39
128,22
129,71
130,55
131,36
132,23
133,52
134,56
135,15
136,37
137,37
138,29
139,58
140,60
141,18
142,38
143,58
144,55
145,11
146,49
147,18
148,52
149,50
150,60
151,48
152,79
153,43
154,49
155,25
156,59
157,71
158,49
159,77
160,46
161,33
162,14
163,23
164,40
165,74
167,27
168,27
174,78
175,65
176,49
177,43
178,54
179,33
180,49
181,37
182,29
183,48
184,24
185,51
186,34
187,62
188,47
190,27
191,53
192,46
193,44
194,42
195,62
196,72
197,32
198,66
199,18
200,57
201,18
202,146
203,24
205,43
206,37
207,44
208,62
209,72
210,21
211,64
212,25
213,23
214,23
215,14
216,15
217,45
218,25
219,40
221,23
222,92
223,22
224,35
225,21
226,23
227,13
228,60
229,34
230,34
231,23
232,43
233,62
234,65
235,68
236,26
237,46
239,52
240,35
241,29
242,26
243,36
244,15
245,64
246,35
247,22
248,40
249,59
250,24
251,51
252,22
253,14
254,35
255,58
256,29
257,42
258,41
259,451
260,376
261,24
262,72
263,41
264,13
265,413
266,376
267,422
268,321
269,398
270,405
271,432
272,305
273,414
274,399
275,351
276,404
277,428
278,381
279,378
280,399
281,380
282,401
283,322
284,400
285,434
286,231
287,355
288,378
289,358
290,460
291,438
292,365
293,37
294,22
295,50
296,19
297,56
298,45
299,13
300,200
301,55
302,46
303,14
304,6
305,28
307,60
308,71
309,406
310,468
311,328
312,310
313,318
314,325
315,418
316,29
317,383
318,333
319,408
320,362
321,364
322,383
323,18
324,238
325,245
326,394
327,412
328,402
329,317
330,365
331,330
332,274
333,441
334,442
335,308
336,394
337,212
338,399
339,452
340,181
341,430
342,315
343,417
344,257
345,390
347,391
348,376
349,170
350,361
351,354
352,443
353,328
354,352
355,408
356,396
357,345
358,388
359,386
360,426
361,422
362,431
363,324
364,376
365,368
366,384
367,412
368,452
369,400
370,418
371,412
372,359
373,309
374,361
375,386
376,424
377,271
378,426
379,386
380,392
381,334
382,376
383,299
384,357
385,334
386,344
387,382
388,366
389,386
390,410
391,373
392,466
393,334
394,384
395,473
396,362
397,389
398,425
399,377
400,333
401,380
402,419
404,343
405,396
406,398
407,383
408,271
409,362
410,371
411,383
412,353
413,357
414,421
415,365
416,443
417,375
418,355
419,343
420,350
421,407
422,283
423,358
424,433
425,431
426,387
427,422
428,379
429,335
430,293
431,352
432,436
433,447
434,388
435,371
436,422
437,358
438,399
439,379
440,66
441,432
442,428
443,395
444,225
445,327
446,424
447,346
448,362
449,243
450,350
451,340
452,347
453,327
454,420
455,376
456,342
457,365
458,421
459,386
460,28
461,357
462,418
463,349
464,417
465,365
466,406
467,175
468,386
469,480
470,412
471,325
472,275
473,384
474,327
476,24
477,392
478,416
479,402
480,368
481,384
482,399
483,391
484,400
485,374
486,387
487,318
488,294
489,378
490,324
491,418
492,394
493,342
494,456
495,392
496,287
497,378
498,337
499,378
500,262
501,397
502,338
503,419
504,360
505,341
506,318
507,399
508,380
509,384
510,482
511,444
512,391
513,374
514,380
515,447
516,361
517,419
518,423
519,437
520,375
521,351
522,455
523,440
524,427
525,376
526,368
527,442
528,408
529,372
530,398
531,318
532,401
533,223
534,387
535,393
536,345
537,383
538,298
539,371
540,404
541,399
542,409
543,199
544,441
545,322
546,391
547,422
548,408
549,389
550,339
551,425
552,341
553,390
554,406
555,213
556,410
557,422
558,315
559,379
560,400
561,226
562,326
563,405
564,377
565,20
566,350
567,350
568,381
569,344
570,286
571,76
572,382
573,398
574,414
575,396
576,374
577,365
578,331
579,370
580,455
581,368
582,397
583,170
584,414
585,439
586,403
587,361
588,248
589,382
590,372
591,414
592,447
593,401
594,397
595,2
596,379
597,302
598,350
599,334
600,336
601,281
602,344
603,333
604,384
605,328
606,269
607,409
608,399
609,239
610,345
611,359
612,415
613,381
614,377
615,403
616,78
617,414
618,369
619,411
620,344
621,374
622,284
623,365
624,412
625,400
626,436
627,319
628,457
629,350
630,375
631,430
632,365
633,421
634,387
635,387
636,365
637,372
638,43
639,86
640,49
641,35
642,74
643,29
644,48
645,63
646,68
647,52
648,51
649,80
650,52
651,69
652,14
653,27
654,49
655,22
656,72
657,72
658,26
659,18
660,65
661,35
662,61
663,56
664,34
665,53
666,46
667,14
668,45
669,25
670,49
671,34
672,77
673,31
674,43
675,71
676,47
678,43
679,55
680,29
681,45
682,60
683,52
684,55
685,43
686,61
687,1
688,26
689,27
690,11
691,28
692,38
693,54
694,23
695,29
696,56
697,24
698,49
699,54
700,31
701,43
702,20
703,34
704,65
705,25
706,44
707,22
708,26
709,52
710,47
711,10
712,33
713,64
714,50
715,45
716,23
717,56
