date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
08/29/13,12,7,5,475,418,57,70,,0,5,0,,,,,,0,
08/30/13,18,12,6,458,377,81,72,,0,6,0,,,,,,0,
08/31/13,23,7,16,212,80,132,68,,1,7,0,,,,,,0,
09/01/13,16,6,10,209,88,121,70,,1,1,0,,,,,,0,
09/02/13,10,3,7,482,407,75,71,,0,2,0,,,,,,1,Labor Day
09/03/13,10,4,6,458,402,56,69,1,0,3,0,,,,,,0,
09/04/13,10,8,2,434,385,49,68,,0,4,0,,,,,,0,
09/05/13,7,6,1,475,418,57,68,,0,5,0,,1,,,,0,
09/06/13,15,9,6,458,377,81,71,,0,6,0,,1,,,,0,
09/07/13,17,9,8,212,80,132,74,,1,7,0,,1,,1,,0,
09/08/13,10,4,6,209,88,121,70,,1,1,0,1,1,,1,,0,
09/09/13,16,7,9,482,407,75,70,,0,2,0,,1,,,,0,
09/10/13,8,8,0,458,402,56,70,,0,3,0,,1,,1,,0,
09/11/13,6,6,0,434,385,49,66,,0,4,0,,1,,,,0,
09/12/13,10,9,1,475,418,57,67,,0,5,0,,,,1,,0,
09/13/13,12,7,5,458,377,81,66,,0,6,0,,,,,,0,
09/14/13,7,4,3,212,80,132,64,,1,7,0,,,,1,,0,
09/15/13,6,0,6,209,88,121,66,,1,1,0,,,,1,,0,
09/16/13,7,5,2,482,407,75,68,,0,2,0,,,,,,0,
09/17/13,11,11,0,458,402,56,65,,0,3,0,,,,1,,0,
09/18/13,5,3,2,434,385,49,66,,0,4,0,,,,1,,0,
09/19/13,13,12,1,475,418,57,66,,0,5,0,,,,1,,0,
09/20/13,10,7,3,458,377,81,65,,0,6,0,,,,1,,0,
09/21/13,4,0,4,212,80,132,64,1,1,7,0,,,,1,,0,
09/22/13,3,1,2,209,88,121,61,,1,1,0,1,,,1,,0,
09/23/13,23,17,6,482,407,75,66,,0,2,0,,,,1,,0,
09/24/13,15,13,2,458,402,56,65,,0,3,0,,1,,1,,0,
09/25/13,20,18,2,434,385,49,62,,0,4,0,,1,,1,,0,
09/26/13,17,13,4,475,418,57,60,,0,5,0,,1,,,,0,
09/27/13,15,14,1,458,377,81,61,,0,6,0,,1,,,,0,
09/28/13,11,5,6,212,80,132,63,,1,7,0,,1,,,,0,
09/29/13,10,3,7,209,88,121,65,,1,1,0,,1,,,,0,
09/30/13,20,16,4,482,407,75,66,,0,2,0,,,,,,0,
10/01/13,21,19,2,458,402,56,62,,0,3,0,,,,,1,0,
10/02/13,15,11,4,434,385,49,61,,0,4,0,,,,,1,0,
10/03/13,16,13,3,475,418,57,60,,0,5,0,,,1,,1,0,
10/04/13,19,17,2,458,377,81,68,,0,6,0,,,,,1,0,
10/05/13,20,10,10,212,80,132,64,,1,7,0,,,1,,1,0,
10/06/13,11,5,6,209,88,121,64,,1,1,0,1,,,,1,0,
10/07/13,12,8,4,482,407,75,64,,0,2,0,,,,,1,0,
10/08/13,16,14,2,458,402,56,60,,0,3,0,,,1,,1,0,
10/09/13,14,13,1,434,385,49,58,,0,4,0,,,,,1,0,
10/10/13,18,16,2,475,418,57,58,,0,5,0,,,,,1,0,
10/11/13,19,16,3,458,377,81,55,,0,6,0,,,,,1,0,
10/12/13,4,2,2,212,80,132,57,,1,7,0,,,1,,1,0,
10/13/13,7,3,4,209,88,121,58,,1,1,0,1,,,,1,0,
10/14/13,22,20,2,482,407,75,60,,0,2,0,,,,,1,1,Columbus Day
10/15/13,14,12,2,458,402,56,61,,0,3,0,,,,,1,0,
10/16/13,11,11,0,434,385,49,62,,0,4,0,,,,,1,0,
10/17/13,10,8,2,475,418,57,62,,0,5,0,,,,,,0,
10/18/13,20,18,2,458,377,81,60,,0,6,1,,,,,,0,
10/19/13,10,6,4,212,80,132,60,,1,7,1,,,1,,,0,
10/20/13,10,3,7,209,88,121,58,,1,1,1,,,,,,0,
10/21/13,16,15,1,482,407,75,58,,0,2,1,,,,,,0,
10/22/13,12,11,1,458,402,56,57,,0,3,0,,,,,,0,
10/23/13,14,14,0,434,385,49,57,,0,4,0,,,,,,0,
10/24/13,14,13,1,475,418,57,55,,0,5,0,,,,,,0,
10/25/13,18,11,7,458,377,81,55,,0,6,0,,,,,,0,
10/26/13,4,0,4,212,80,132,57,,1,7,0,,,,,,0,
10/27/13,2,0,2,209,88,121,55,,1,1,0,,,,,,0,
10/28/13,13,13,0,482,407,75,57,,0,2,0,,,,,,0,
10/29/13,13,13,0,458,402,56,56,,0,3,0,,,,,,0,
10/30/13,15,14,1,434,385,49,53,,0,4,0,,,,,,0,
10/31/13,12,11,1,475,418,57,55,,0,5,0,,,,,,1,Halloween
11/01/13,15,12,3,458,377,81,57,,0,6,0,,,,,,0,
11/02/13,2,1,1,212,80,132,54,,1,7,0,,,1,,,0,
11/03/13,8,5,3,209,88,121,53,,1,1,0,,,,,,0,
11/04/13,19,19,0,482,407,75,52,,0,2,0,,,,,,0,
11/05/13,12,11,1,458,402,56,56,,0,3,0,,,1,,,0,
11/06/13,24,17,7,434,385,49,56,,0,4,0,,,,,,0,
11/07/13,21,16,5,475,418,57,57,,0,5,0,,,1,,,0,
11/08/13,28,22,6,458,377,81,56,,0,6,0,,,,,,0,
11/09/13,2,0,2,212,80,132,55,,1,7,0,,,,,,0,
11/10/13,7,3,4,209,88,121,54,,1,1,0,1,,,,,0,
11/11/13,20,17,3,482,407,75,58,,0,2,0,,,,,,1,Veterans Day
11/12/13,15,14,1,458,402,56,60,,0,3,0,,,,,,0,
11/13/13,23,21,2,434,385,49,56,,0,4,0,,,,,,0,
11/14/13,23,21,2,475,418,57,56,,0,5,0,,,,,,0,
11/15/13,15,14,1,458,377,81,53,,0,6,0,,,,,,0,
11/16/13,6,1,5,212,80,132,52,,1,7,0,,,,,,0,
11/17/13,11,2,9,209,88,121,51,,1,1,0,,,,,,0,
11/18/13,18,16,2,482,407,75,51,,0,2,0,,,,,,0,
11/19/13,11,11,0,458,402,56,56,1,0,3,0,,,,,,0,
11/20/13,19,19,0,434,385,49,57,1,0,4,0,,,,,,0,
11/21/13,21,20,1,475,418,57,54,,0,5,0,,,1,,,0,
11/22/13,14,14,0,458,377,81,52,,0,6,0,,,,,,0,
11/23/13,5,4,1,212,80,132,51,,1,7,0,,,1,,,0,
11/24/13,2,0,2,209,88,121,49,,1,1,0,,,,,,0,
11/25/13,20,18,2,482,407,75,49,,0,2,0,,,,,,0,
11/26/13,29,18,11,458,402,56,51,,0,3,0,,,,,,0,
11/27/13,15,15,0,434,385,49,52,,0,4,0,,,1,,,0,
11/28/13,9,3,6,475,418,57,54,,0,5,0,,,,,,1,Thanksgiving
11/29/13,9,0,9,458,377,81,52,,0,6,0,,,1,,,1,Thanksgiving Friday
11/30/13,4,1,3,212,80,132,51,,1,7,0,,,1,,,0,
12/01/13,11,6,5,209,88,121,51,,1,1,0,1,,,,,0,
12/02/13,23,22,1,482,407,75,50,,0,2,0,,,,,,0,
12/03/13,23,22,1,458,402,56,50,,0,3,0,,,,,,0,
12/04/13,22,21,1,434,385,49,41,,0,4,0,,,,,,0,
12/05/13,15,15,0,475,418,57,38,,0,5,0,,,,,,0,
12/06/13,7,6,1,458,377,81,44,1,0,6,0,,,,,,0,
12/07/13,4,3,1,212,80,132,45,1,1,7,0,,,,,,0,
12/08/13,8,6,2,209,88,121,38,,1,1,0,1,,,,,0,
12/09/13,25,23,2,482,407,75,38,,0,2,0,,,,,,0,
12/10/13,22,18,4,458,402,56,38,,0,3,0,,,1,,,0,
12/11/13,21,19,2,434,385,49,42,,0,4,0,,,,,,0,
12/12/13,21,18,3,475,418,57,42,,0,5,0,,,1,,,0,
12/13/13,15,11,4,458,377,81,44,,0,6,0,,,,,,0,
12/14/13,3,2,1,212,80,132,45,,1,7,1,,,,,,0,
12/15/13,5,5,0,209,88,121,45,,1,1,1,,,,,,0,
12/16/13,21,19,2,482,407,75,48,,0,2,1,,,,,,0,
12/17/13,13,13,0,458,402,56,50,,0,3,1,,,,,,0,
12/18/13,17,17,0,434,385,49,50,,0,4,1,,,,,,0,
12/19/13,22,22,0,475,418,57,48,,0,5,0,,,,,,0,
12/20/13,14,12,2,458,377,81,46,,0,6,0,,,,,,0,
12/21/13,2,0,2,212,80,132,47,,1,7,0,,,1,,,0,
12/22/13,1,1,0,209,88,121,50,,1,1,0,,,,,,0,
