date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
08/29/13,23,15,8,248,151,97,71,,0,5,0,,,,,,0,
08/30/13,11,3,8,251,157,94,74,,0,6,0,,,,,,0,
08/31/13,30,6,24,269,66,203,69,,1,7,0,,,,,,0,
09/01/13,11,0,11,233,51,182,71,,1,1,0,,,,,,0,
09/02/13,4,0,4,216,158,58,71,,0,2,0,,,,,,1,Labor Day
09/03/13,19,6,13,260,175,85,70,,0,3,0,,,,,,0,
09/04/13,7,1,6,229,147,82,70,,0,4,0,,,,,,0,
09/05/13,4,1,3,248,151,97,70,,0,5,0,,1,,,,0,
09/06/13,7,5,2,251,157,94,73,,0,6,0,,1,,,,0,
09/07/13,26,1,25,269,66,203,78,,1,7,0,,1,,1,,0,
09/08/13,13,3,10,233,51,182,73,,1,1,0,1,1,,1,,0,
09/09/13,9,2,7,216,158,58,73,,0,2,0,,1,,,,0,
09/10/13,11,4,7,260,175,85,70,,0,3,0,,1,,1,,0,
09/11/13,8,3,5,229,147,82,67,,0,4,0,,1,,,,0,
09/12/13,9,5,4,248,151,97,67,,0,5,0,,,,1,,0,
09/13/13,12,8,4,251,157,94,66,,0,6,0,,,,,,0,
09/14/13,16,2,14,269,66,203,65,,1,7,0,,,,1,,0,
09/15/13,15,2,13,233,51,182,68,,1,1,0,,,,1,,0,
09/16/13,9,1,8,216,158,58,71,,0,2,0,,,,,,0,
09/17/13,16,6,10,260,175,85,67,,0,3,0,,,,1,,0,
09/18/13,12,8,4,229,147,82,69,,0,4,0,,,,1,,0,
09/19/13,6,2,4,248,151,97,69,,0,5,0,,,,1,,0,
09/20/13,12,6,6,251,157,94,66,,0,6,0,,,,1,,0,
09/21/13,5,2,3,269,66,203,64,1,1,7,0,,,,1,,0,
09/22/13,21,1,20,233,51,182,63,,1,1,0,1,,,1,,0,
09/23/13,13,8,5,216,158,58,68,,0,2,0,,,,1,,0,
09/24/13,7,4,3,260,175,85,68,,0,3,0,,1,,1,,0,
09/25/13,12,6,6,229,147,82,63,,0,4,0,,1,,1,,0,
09/26/13,8,7,1,248,151,97,65,,0,5,0,,1,,,,0,
09/27/13,13,7,6,251,157,94,65,,0,6,0,,1,,,,0,
09/28/13,7,2,5,269,66,203,67,,1,7,0,,1,,,,0,
09/29/13,6,5,1,233,51,182,66,,1,1,0,,1,,,,0,
09/30/13,4,3,1,216,158,58,67,,0,2,0,,,,,,0,
10/01/13,8,5,3,260,175,85,63,,0,3,0,,,,,1,0,
10/02/13,18,14,4,229,147,82,64,,0,4,0,,,,,1,0,
10/03/13,17,5,12,248,151,97,63,,0,5,0,,,1,,1,0,
10/04/13,11,9,2,251,157,94,70,,0,6,0,,,,,1,0,
10/05/13,17,1,16,269,66,203,68,,1,7,0,,,1,,1,0,
10/06/13,20,1,19,233,51,182,67,,1,1,0,1,,,,1,0,
10/07/13,11,8,3,216,158,58,67,,0,2,0,,,,,1,0,
