date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
08/29/13,9,6,3,122,102,20,71,,0,5,0,,,,,,0,
08/30/13,9,8,1,157,124,33,74,,0,6,0,,,,,,0,
08/31/13,5,5,0,74,42,32,68,,1,7,0,,,,,,0,
09/01/13,6,3,3,46,16,30,71,,1,1,0,,,,,,0,
09/02/13,4,1,3,118,108,10,70,,0,2,0,,,,,,1,Labor Day
09/03/13,10,4,6,157,134,23,68,,0,3,0,,,,,,0,
09/04/13,2,1,1,119,105,14,68,,0,4,0,,,,,,0,
09/05/13,8,6,2,122,102,20,68,,0,5,0,,1,,,,0,
09/06/13,12,10,2,157,124,33,73,,0,6,0,,1,,,,0,
09/07/13,4,2,2,74,42,32,78,,1,7,0,,1,,1,,0,
09/08/13,2,2,0,46,16,30,68,,1,1,0,1,1,,1,,0,
09/09/13,1,1,0,118,108,10,73,,0,2,0,,1,,,,0,
09/10/13,8,8,0,157,134,23,70,,0,3,0,,1,,1,,0,
09/11/13,6,6,0,119,105,14,67,,0,4,0,,1,,,,0,
09/12/13,7,7,0,122,102,20,68,,0,5,0,,,,1,,0,
09/13/13,8,7,1,157,124,33,67,,0,6,0,,,,,,0,
09/14/13,9,8,1,74,42,32,62,,1,7,0,,,,1,,0,
09/15/13,1,1,0,46,16,30,68,,1,1,0,,,,1,,0,
09/16/13,15,14,1,118,108,10,68,,0,2,0,,,,,,0,
09/17/13,6,5,1,157,134,23,64,,0,3,0,,,,1,,0,
09/18/13,8,7,1,119,105,14,68,,0,4,0,,,,1,,0,
09/19/13,8,6,2,122,102,20,70,,0,5,0,,,,1,,0,
09/20/13,7,7,0,157,124,33,67,,0,6,0,,,,1,,0,
09/21/13,1,1,0,74,42,32,62,1,1,7,0,,,,1,,0,
09/22/13,1,0,1,46,16,30,63,,1,1,0,1,,,1,,0,
09/23/13,9,9,0,118,108,10,68,,0,2,0,,,,1,,0,
09/24/13,11,8,3,157,134,23,65,,0,3,0,,1,,1,,0,
09/25/13,6,5,1,119,105,14,60,,0,4,0,,1,,1,,0,
09/26/13,7,7,0,122,102,20,64,,0,5,0,,1,,,,0,
09/27/13,10,8,2,157,124,33,64,,0,6,0,,1,,,,0,
09/28/13,6,6,0,74,42,32,66,,1,7,0,,1,,,,0,
09/29/13,2,2,0,46,16,30,65,,1,1,0,,1,,,,0,
09/30/13,5,5,0,118,108,10,66,,0,2,0,,,,,,0,
10/01/13,13,13,0,157,134,23,64,,0,3,0,,,,,1,0,
10/02/13,9,9,0,119,105,14,63,,0,4,0,,,,,1,0,
10/03/13,8,7,1,122,102,20,63,,0,5,0,,,1,,1,0,
10/04/13,9,9,0,157,124,33,68,,0,6,0,,,,,1,0,
10/05/13,5,1,4,74,42,32,68,,1,7,0,,,1,,1,0,
10/06/13,3,0,3,46,16,30,68,,1,1,0,1,,,,1,0,
10/07/13,9,8,1,118,108,10,68,,0,2,0,,,,,1,0,
10/08/13,7,7,0,157,134,23,62,,0,3,0,,,1,,1,0,
10/09/13,8,8,0,119,105,14,59,,0,4,0,,,,,1,0,
10/10/13,2,2,0,122,102,20,59,,0,5,0,,,,,1,0,
10/11/13,9,9,0,157,124,33,58,,0,6,0,,,,,1,0,
10/12/13,1,1,0,74,42,32,56,,1,7,0,,,1,,1,0,
10/13/13,8,1,7,46,16,30,62,,1,1,0,1,,,,1,0,
10/14/13,3,3,0,118,108,10,64,,0,2,0,,,,,1,1,Columbus Day
10/15/13,9,6,3,157,134,23,64,,0,3,0,,,,,1,0,
10/16/13,3,3,0,119,105,14,66,,0,4,0,,,,,1,0,
10/17/13,11,10,1,122,102,20,66,,0,5,0,,,,,,0,
10/18/13,5,4,1,157,124,33,60,,0,6,1,,,,,,0,
10/19/13,2,2,0,74,42,32,64,,1,7,1,,,1,,,0,
10/20/13,4,3,1,46,16,30,58,,1,1,1,,,,,,0,
10/21/13,9,8,1,118,108,10,55,,0,2,1,,,,,,0,
10/22/13,10,10,0,157,134,23,57,,0,3,0,,,,,,0,
10/23/13,8,7,1,119,105,14,56,,0,4,0,,,,,,0,
10/24/13,6,6,0,122,102,20,54,,0,5,0,,,,,,0,
10/25/13,2,2,0,157,124,33,57,,0,6,0,,,,,,0,
10/26/13,1,1,0,74,42,32,60,,1,7,0,,,,,,0,
10/27/13,2,1,1,46,16,30,52,,1,1,0,,,,,,0,
10/28/13,8,8,0,118,108,10,56,,0,2,0,,,,,,0,
10/29/13,8,8,0,157,134,23,55,1,0,3,0,,,,,,0,
10/30/13,6,6,0,119,105,14,55,,0,4,0,,,,,,0,
10/31/13,4,4,0,122,102,20,58,,0,5,0,,,,,,1,Halloween
11/01/13,7,5,2,157,124,33,60,,0,6,0,,,,,,0,
11/02/13,5,0,5,74,42,32,58,,1,7,0,,,1,,,0,
11/03/13,3,0,3,46,16,30,54,,1,1,0,,,,,,0,
11/04/13,4,4,0,118,108,10,55,,0,2,0,,,,,,0,
11/05/13,12,11,1,157,134,23,58,,0,3,0,,,1,,,0,
11/06/13,8,6,2,119,105,14,58,,0,4,0,,,,,,0,
11/07/13,7,3,4,122,102,20,60,,0,5,0,,,1,,,0,
11/08/13,22,8,14,157,124,33,60,,0,6,0,,,,,,0,
11/09/13,10,5,5,74,42,32,57,,1,7,0,,,,,,0,
11/10/13,9,2,7,46,16,30,54,,1,1,0,1,,,,,0,
11/11/13,4,3,1,118,108,10,56,,0,2,0,,,,,,1,Veterans Day
11/12/13,8,8,0,157,134,23,62,,0,3,0,,,,,,0,
11/13/13,7,5,2,119,105,14,62,,0,4,0,,,,,,0,
11/14/13,9,9,0,122,102,20,56,,0,5,0,,,,,,0,
11/15/13,10,10,0,157,124,33,55,,0,6,0,,,,,,0,
11/16/13,2,2,0,74,42,32,56,,1,7,0,,,,,,0,
11/17/13,0,0,0,46,16,30,52,,1,1,0,,,,,,0,
11/18/13,10,10,0,118,108,10,52,,0,2,0,,,,,,0,
11/19/13,5,5,0,157,134,23,54,1,0,3,0,,,,,,0,
11/20/13,6,6,0,119,105,14,55,1,0,4,0,,,,,,0,
11/21/13,4,4,0,122,102,20,56,1,0,5,0,,,1,,,0,
11/22/13,5,5,0,157,124,33,57,,0,6,0,,,,,,0,
11/23/13,1,1,0,74,42,32,54,,1,7,0,,,1,,,0,
11/24/13,0,0,0,46,16,30,53,,1,1,0,,,,,,0,
11/25/13,7,7,0,118,108,10,50,,0,2,0,,,,,,0,
11/26/13,7,7,0,157,134,23,53,,0,3,0,,,,,,0,
