date,total,subscriber,customer,totalAvg,subscriberAvg,customerAvg,temp,rain,weekend,weekday,BART,49ers,Giants,Sharks,AmericasCup,USGovShutdown,holiday,holidayName
08/29/13,642,383,259,22818,19323,3495,68,,0,5,0,,,,,,0,
08/30/13,606,253,353,21918,17899,4019,69,,0,6,0,,,,,,0,
08/31/13,556,127,429,11037,5398,5639,64,,1,7,0,,,,,,0,
09/01/13,600,102,498,9328,4453,4875,66,,1,1,0,,,,,,0,
09/02/13,594,144,450,20978,17881,3097,69,,0,2,0,,,,,,1,Labor Day
09/03/13,523,271,252,22376,19481,2895,67,,0,3,0,,,,,,0,
09/04/13,515,308,207,21398,18300,3098,68,,0,4,0,,,,,,0,
09/05/13,602,348,254,22818,19323,3495,66,,0,5,0,,1,,,,0,
09/06/13,719,400,319,21918,17899,4019,71,,0,6,0,,1,,,,0,
09/07/13,716,216,500,11037,5398,5639,73,,1,7,0,,1,,1,,0,
09/08/13,626,164,462,9328,4453,4875,65,,1,1,0,1,1,,1,,0,
09/09/13,692,456,236,20978,17881,3097,66,,0,2,0,,1,,,,0,
09/10/13,797,561,236,22376,19481,2895,66,,0,3,0,,1,,1,,0,
09/11/13,799,555,244,21398,18300,3098,68,,0,4,0,,1,,,,0,
09/12/13,855,606,249,22818,19323,3495,65,,0,5,0,,,,1,,0,
09/13/13,886,600,286,21918,17899,4019,62,,0,6,0,,,,,,0,
09/14/13,610,227,383,11037,5398,5639,62,,1,7,0,,,,1,,0,
09/15/13,575,223,352,9328,4453,4875,66,,1,1,0,,,,1,,0,
09/16/13,833,610,223,20978,17881,3097,65,,0,2,0,,,,,,0,
09/17/13,990,716,274,22376,19481,2895,63,,0,3,0,,,,1,,0,
09/18/13,1015,768,247,21398,18300,3098,66,,0,4,0,,,,1,,0,
09/19/13,956,721,235,22818,19323,3495,67,,0,5,0,,,,1,,0,
09/20/13,971,697,274,21918,17899,4019,65,,0,6,0,,,,1,,0,
09/21/13,317,180,137,11037,5398,5639,63,1,1,7,0,,,,1,,0,
09/22/13,531,209,322,9328,4453,4875,63,,1,1,0,1,,,1,,0,
09/23/13,943,729,214,20978,17881,3097,68,,0,2,0,,,,1,,0,
09/24/13,977,757,220,22376,19481,2895,65,,0,3,0,,1,,1,,0,
09/25/13,1154,798,356,21398,18300,3098,62,,0,4,0,,1,,1,,0,
09/26/13,976,758,218,22818,19323,3495,62,,0,5,0,,1,,,,0,
09/27/13,1009,764,245,21918,17899,4019,66,,0,6,0,,1,,,,0,
09/28/13,553,225,328,11037,5398,5639,66,,1,7,0,,1,,,,0,
09/29/13,479,224,255,9328,4453,4875,66,,1,1,0,,1,,,,0,
