date,total,subscriber,customer,rain,BART strike,weekday,weekend
08/29/13,748,461,287,,,5,0
08/30/13,714,308,406,,,6,0
08/31/13,640,160,480,,,7,1
09/01/13,706,122,584,,,1,1
09/02/13,661,162,499,,,2,0
09/03/13,597,312,285,,,3,0
09/04/13,606,370,236,,,4,0
09/05/13,677,399,278,,,5,0
09/06/13,814,461,353,,,6,0
09/07/13,796,242,554,,,7,1
09/08/13,704,199,505,,,1,1
09/09/13,769,502,267,,,2,0
09/10/13,892,628,264,,,3,0
09/11/13,880,623,257,,,4,0
09/12/13,942,677,265,,,5,0
09/13/13,981,676,305,,,6,0
09/14/13,702,261,441,,,7,1
09/15/13,624,236,388,,,1,1
09/16/13,914,676,238,,,2,0
09/17/13,1073,779,294,,,3,0
09/18/13,1110,841,269,,,4,0
09/19/13,1044,793,251,,,5,0
09/20/13,1102,791,311,,,6,0
09/21/13,388,203,185,1,,7,1
09/22/13,584,224,360,,,1,1
09/23/13,1050,812,238,,,2,0
09/24/13,1075,836,239,,,3,0
09/25/13,1264,891,373,,,4,0
09/26/13,1082,849,233,,,5,0
09/27/13,1101,840,261,,,6,0
09/28/13,612,263,349,,,7,1
09/29/13,517,250,267,,,1,1
09/30/13,976,849,127,,,2,0
10/01/13,1072,909,163,,,3,0
10/02/13,1061,877,184,,,4,0
10/03/13,1158,885,273,,,5,0
10/04/13,1088,844,244,,,6,0
10/05/13,716,311,405,,,7,1
10/06/13,606,251,355,,,1,1
10/07/13,964,818,146,,,2,0
10/08/13,1018,881,137,,,3,0
10/09/13,1069,919,150,,,4,0
10/10/13,1086,895,191,,,5,0
10/11/13,1014,833,181,,,6,0
10/12/13,665,319,346,,,7,1
10/13/13,572,263,309,,,1,1
10/14/13,1050,830,220,,,2,0
10/15/13,1173,941,232,,,3,0
10/16/13,1165,979,186,,,4,0
10/17/13,1227,1001,226,,,5,0
10/18/13,1103,852,251,,1,6,0
10/19/13,635,285,350,,1,7,1
10/20/13,452,213,239,,1,1,1
10/21/13,1015,869,146,,1,2,0
10/22/13,1026,917,109,,,3,0
10/23/13,1029,934,95,,,4,0
10/24/13,1053,945,108,,,5,0
10/25/13,1048,917,131,,,6,0
10/26/13,501,271,230,,,7,1
10/27/13,292,188,104,1,,1,1
10/28/13,967,898,69,,,2,0
10/29/13,1008,924,84,,,3,0
10/30/13,1122,1017,105,,,4,0
10/31/13,1150,993,157,,,5,0
